# bubble_sort
#      n  min time  max time  avg time   std dev
#------- --------- --------- --------- ---------
#      n  min time  max time  avg time   std dev
#------- --------- --------- --------- ---------
      10 6.250e-07 6.990e-07 6.597e-07 1.698e-08
      13 6.810e-07 7.660e-07 7.201e-07 1.989e-08
      16 7.520e-07 8.590e-07 8.022e-07 2.553e-08
      20 8.520e-07 1.514e-06 9.753e-07 1.316e-07
      25 9.860e-07 1.510e-06 1.105e-06 1.123e-07
      32 1.195e-06 2.538e-06 1.557e-06 3.077e-07
      40 1.623e-06 3.638e-06 2.056e-06 3.927e-07
      50 1.945e-06 2.417e-06 2.091e-06 7.774e-08
      63 2.420e-06 2.975e-06 2.593e-06 9.181e-08
      79 2.949e-06 3.347e-06 3.122e-06 8.837e-08
     100 3.795e-06 4.226e-06 3.997e-06 9.854e-08
     126 4.966e-06 6.893e-06 5.368e-06 3.644e-07
     158 6.667e-06 9.458e-06 7.306e-06 6.482e-07
     200 8.499e-06 9.271e-06 8.849e-06 1.807e-07
     251 1.030e-05 1.395e-05 1.092e-05 4.960e-07
     316 1.327e-05 1.826e-05 1.468e-05 9.755e-07
     398 1.851e-05 2.303e-05 1.948e-05 7.816e-07
     501 2.271e-05 2.572e-05 2.409e-05 9.826e-07
     631 2.973e-05 3.747e-05 3.181e-05 1.740e-06
     794 3.879e-05 4.840e-05 4.154e-05 2.313e-06
    1000 5.086e-05 6.522e-05 5.548e-05 3.106e-06
    1259 7.108e-05 9.643e-05 7.933e-05 5.751e-06
    1585 8.795e-05 1.097e-04 9.613e-05 5.095e-06
    1995 1.133e-04 1.297e-04 1.163e-04 3.307e-06
    2512 1.480e-04 1.920e-04 1.555e-04 9.117e-06
    3162 1.924e-04 2.379e-04 2.026e-04 1.111e-05
    3981 2.518e-04 3.147e-04 2.633e-04 1.428e-05
    5012 3.289e-04 4.148e-04 3.430e-04 1.993e-05
    6310 4.269e-04 5.275e-04 4.445e-04 2.248e-05
    7943 5.553e-04 7.121e-04 5.816e-04 3.547e-05
   10000 7.216e-04 8.436e-04 7.427e-04 2.743e-05
   12589 9.414e-04 1.115e-03 9.699e-04 3.692e-05
   15849 1.227e-03 1.559e-03 1.307e-03 8.107e-05
   19953 1.588e-03 1.894e-03 1.648e-03 7.157e-05
   25119 2.065e-03 2.886e-03 2.218e-03 1.781e-04
   31623 2.679e-03 3.368e-03 2.823e-03 1.717e-04
   39811 3.478e-03 4.577e-03 3.716e-03 2.771e-04
   50119 4.523e-03 5.907e-03 4.807e-03 3.559e-04
   63096 5.862e-03 7.757e-03 6.273e-03 4.937e-04
   79433 7.607e-03 1.025e-02 8.272e-03 7.270e-04
  100000 9.967e-03 1.732e-02 1.355e-02 2.492e-03
  125893 1.308e-02 2.298e-02 1.606e-02 2.550e-03
  158489 1.760e-02 3.616e-02 2.545e-02 4.573e-03
  199526 2.190e-02 3.702e-02 2.579e-02 4.164e-03
  251189 2.800e-02 5.109e-02 3.311e-02 5.608e-03
  316228 3.663e-02 7.218e-02 5.274e-02 1.034e-02
  398107 4.837e-02 7.917e-02 5.389e-02 5.694e-03
  501187 6.080e-02 1.057e-01 7.076e-02 1.184e-02
#------- --------- --------- --------- ---------


# quick_sort
#      n  min time  max time  avg time   std dev
#------- --------- --------- --------- ---------
      10 6.000e-07 1.186e-06 6.804e-07 1.155e-07
      13 6.630e-07 1.703e-06 8.243e-07 1.974e-07
      16 7.750e-07 2.891e-06 1.148e-06 3.385e-07
      20 9.630e-07 2.410e-06 1.238e-06 2.956e-07
      25 9.990e-07 1.533e-06 1.183e-06 1.245e-07
      32 1.148e-06 2.046e-06 1.389e-06 2.133e-07
      40 1.365e-06 1.613e-06 1.459e-06 4.980e-08
      50 1.624e-06 1.914e-06 1.750e-06 6.430e-08
      63 1.999e-06 2.308e-06 2.137e-06 7.374e-08
      79 2.503e-06 2.945e-06 2.664e-06 8.897e-08
     100 3.242e-06 6.017e-06 3.724e-06 5.438e-07
     126 4.438e-06 7.291e-06 5.145e-06 6.511e-07
     158 5.538e-06 6.156e-06 5.823e-06 1.462e-07
     200 7.040e-06 8.780e-06 7.446e-06 2.416e-07
     251 8.919e-06 9.830e-06 9.362e-06 2.105e-07
     316 1.186e-05 1.668e-05 1.327e-05 1.091e-06
     398 1.557e-05 2.007e-05 1.650e-05 8.306e-07
     501 2.028e-05 2.402e-05 2.122e-05 6.266e-07
     631 2.477e-05 3.542e-05 2.739e-05 2.145e-06
     794 3.248e-05 4.400e-05 3.581e-05 2.105e-06
    1000 4.228e-05 5.898e-05 4.775e-05 2.987e-06
    1259 5.463e-05 7.339e-05 5.992e-05 3.761e-06
    1585 7.030e-05 8.938e-05 7.420e-05 3.853e-06
    1995 9.166e-05 1.175e-04 9.804e-05 5.633e-06
    2512 1.191e-04 1.573e-04 1.266e-04 7.914e-06
    3162 1.550e-04 2.025e-04 1.652e-04 1.028e-05
    3981 2.010e-04 2.651e-04 2.133e-04 1.337e-05
    5012 2.612e-04 3.509e-04 2.806e-04 2.056e-05
    6310 3.391e-04 4.609e-04 3.605e-04 2.418e-05
    7943 4.392e-04 5.728e-04 4.644e-04 2.760e-05
   10000 5.697e-04 7.318e-04 5.992e-04 3.393e-05
   12589 7.375e-04 9.412e-04 7.727e-04 4.207e-05
   15849 9.541e-04 1.532e-03 1.089e-03 1.559e-04
   19953 1.233e-03 1.630e-03 1.326e-03 8.901e-05
   25119 1.591e-03 1.910e-03 1.662e-03 7.193e-05
   31623 2.050e-03 2.499e-03 2.159e-03 1.054e-04
   39811 2.649e-03 3.179e-03 2.778e-03 1.293e-04
   50119 3.410e-03 4.237e-03 3.614e-03 1.918e-04
   63096 4.403e-03 5.243e-03 4.606e-03 2.013e-04
   79433 5.668e-03 7.084e-03 6.012e-03 3.386e-04
  100000 7.300e-03 8.804e-03 7.673e-03 3.863e-04
  125893 9.405e-03 1.121e-02 9.895e-03 4.744e-04
  158489 1.210e-02 1.435e-02 1.277e-02 6.096e-04
  199526 1.561e-02 1.835e-02 1.646e-02 7.113e-04
  251189 2.017e-02 2.302e-02 2.116e-02 7.524e-04
  316228 2.599e-02 3.842e-02 2.818e-02 1.737e-03
  398107 3.378e-02 5.798e-02 4.103e-02 6.883e-03
  501187 4.347e-02 4.933e-02 4.537e-02 1.276e-03
  630957 5.595e-02 6.259e-02 5.825e-02 1.493e-03
  794328 7.270e-02 7.952e-02 7.560e-02 1.596e-03
#------- --------- --------- --------- ---------


# merge_sort
#      n  min time  max time  avg time   std dev
#------- --------- --------- --------- ---------
      10 5.950e-07 6.360e-07 6.143e-07 9.842e-09
      13 6.300e-07 6.770e-07 6.520e-07 1.120e-08
      16 6.700e-07 7.280e-07 6.965e-07 1.383e-08
      20 7.230e-07 9.550e-07 7.644e-07 4.348e-08
      25 7.950e-07 9.300e-07 8.359e-07 2.732e-08
      32 9.340e-07 1.162e-06 1.004e-06 4.327e-08
      40 1.236e-06 2.931e-06 1.559e-06 3.605e-07
      50 1.612e-06 3.777e-06 2.055e-06 4.006e-07
      63 1.834e-06 2.052e-06 1.923e-06 4.847e-08
      79 2.322e-06 2.608e-06 2.451e-06 6.758e-08
     100 2.952e-06 3.217e-06 3.076e-06 6.229e-08
     126 3.652e-06 4.001e-06 3.811e-06 8.613e-08
     158 4.815e-06 7.091e-06 5.153e-06 4.731e-07
     200 6.012e-06 6.626e-06 6.336e-06 1.578e-07
     251 8.137e-06 1.222e-05 9.090e-06 9.069e-07
     316 1.090e-05 1.573e-05 1.150e-05 8.498e-07
     398 1.442e-05 1.972e-05 1.544e-05 1.098e-06
     501 1.720e-05 2.182e-05 1.806e-05 5.391e-07
     631 2.303e-05 3.476e-05 2.530e-05 2.425e-06
     794 3.012e-05 4.231e-05 3.273e-05 2.481e-06
    1000 3.880e-05 5.433e-05 4.252e-05 3.124e-06
    1259 5.104e-05 6.801e-05 5.373e-05 3.044e-06
    1585 6.749e-05 8.944e-05 7.093e-05 4.130e-06
    1995 8.614e-05 1.100e-04 8.943e-05 4.451e-06
    2512 1.130e-04 1.486e-04 1.185e-04 7.315e-06
    3162 1.494e-04 1.984e-04 1.569e-04 1.168e-05
    3981 1.911e-04 2.557e-04 2.008e-04 1.517e-05
    5012 2.484e-04 3.307e-04 2.600e-04 1.812e-05
    6310 3.289e-04 4.287e-04 3.470e-04 2.328e-05
    7943 4.201e-04 5.279e-04 4.345e-04 2.310e-05
   10000 5.417e-04 6.770e-04 5.631e-04 3.173e-05
   12589 7.172e-04 8.955e-04 7.422e-04 4.084e-05
   15849 9.156e-04 1.154e-03 9.500e-04 5.242e-05
   19953 1.175e-03 1.446e-03 1.218e-03 6.464e-05
   25119 1.554e-03 1.985e-03 1.626e-03 1.059e-04
   31623 1.983e-03 2.554e-03 2.101e-03 1.499e-04
   39811 2.542e-03 3.158e-03 2.654e-03 1.439e-04
   50119 3.350e-03 4.181e-03 3.484e-03 1.792e-04
   63096 4.268e-03 5.496e-03 4.501e-03 2.958e-04
   79433 5.464e-03 6.998e-03 5.778e-03 3.921e-04
  100000 7.177e-03 9.040e-03 7.605e-03 5.011e-04
  125893 9.134e-03 1.144e-02 9.749e-03 6.413e-04
  158489 1.171e-02 1.449e-02 1.256e-02 8.024e-04
  199526 1.545e-02 1.920e-02 1.693e-02 1.133e-03
  251189 1.974e-02 2.434e-02 2.187e-02 1.299e-03
  316228 2.532e-02 3.111e-02 2.813e-02 1.441e-03
  398107 3.374e-02 4.014e-02 3.627e-02 1.424e-03
  501187 4.371e-02 4.944e-02 4.593e-02 1.443e-03
  630957 5.286e-02 7.628e-02 5.925e-02 4.094e-03
  794328 6.897e-02 1.211e-01 8.222e-02 1.408e-02
#------- --------- --------- --------- ---------


# heap_sort
#      n  min time  max time  avg time   std dev
#------- --------- --------- --------- ---------
      10 7.850e-07 1.523e-06 8.880e-07 1.219e-07
      13 8.630e-07 9.960e-07 9.259e-07 3.105e-08
      16 9.620e-07 1.099e-06 1.024e-06 3.128e-08
